PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,seqName,host,samplingDate,deer_outbreak_id
-1.8883484727487065,-0.42046195097519834,-0.49799092994444843,-0.2975794945832381,-0.3598008541399143,-0.23879009784223787,-0.8692197301662721,-0.7546302355317808,0.434962640059288,-0.23719609424811877,0.034627683641418966,-5.100087019371813e-16,hCoV-19/mink/USA/WI/MP01N-123/2022-08-08,mink,2022-08-08,NA
-0.41381016466454534,-1.5131474760892412,0.5666284747824506,-1.2066123066742112,1.559226055674192,2.08584567257137,-1.0195098803272054,0.19124614488341773,0.4480498641568635,0.0030729933198024957,0.23910992649578366,-8.98586760555986e-16,hCoV-19/mink/USA/WI/MP01N-150/2022-08-08,mink,2022-08-08,NA
-1.1687266326280166,-1.432028781631647,0.7553220083548502,-0.29944141171832317,1.3850882876229842,2.6325688098035105,0.22915893928887637,0.9391973464385243,-0.1273688954896972,0.3408877288632939,-0.13275862338295003,7.251144129583054e-16,hCoV-19/mink/USA/WI/MP01N-151/2022-08-08,mink,2022-08-08,NA
-1.950050884228982,-0.5213096292216033,0.009215229808888614,-0.17737422362629185,0.35837971812211844,0.15441441717250698,1.0827638254211562,0.6884354964593409,-0.2645758529774445,0.16807037521545798,-0.4882588396431451,1.97758476261356e-16,hCoV-19/mink/USA/WI/MP01N-239/2022-08-08,mink,2022-08-08,NA
-1.0493967363617513,-0.559449730042541,-0.3331005794517829,-1.1787194960211054,0.37368960274071766,-0.6539618289989254,-0.2769966547871795,0.20689502723385056,0.021202640327816272,-0.3198261019513176,-0.21637441947507155,-1.4814538484841933e-15,hCoV-19/mink/USA/WI/MP02N-025/2022-08-21,mink,2022-08-21,NA
-1.4842830295842688,-0.3258406955594248,-0.56950059161939,-0.15571010824670922,-0.4666134473353509,0.1346426984741037,-1.0546913958278366,-0.9485106961703648,-0.1268574417643104,-0.22330044776271596,0.1250290209721779,-8.153200337090993e-16,hCoV-19/mink/USA/WI/MP02N-066/2022-08-21,mink,2022-08-21,NA
-1.4842830295842688,-0.3258406955594248,-0.56950059161939,-0.15571010824670922,-0.4666134473353509,0.1346426984741037,-1.0546913958278366,-0.9485106961703648,-0.1268574417643104,-0.22330044776271596,0.1250290209721779,-8.153200337090993e-16,hCoV-19/mink/USA/WI/MP02N-067/2022-08-21,mink,2022-08-21,NA
-1.8655338780770143,-0.6475231956736668,0.3271113052751372,-1.5973067268456578,1.2355394037255851,-0.6978397385481738,0.026090998371575587,-1.0491676781104302,-0.5625733882122332,-0.15209550071914155,-0.0180134133432901,-2.3696322681843185e-15,hCoV-19/mink/USA/WI/MP02N-158/2022-08-21,mink,2022-08-21,NA
-1.1773582773954283,-0.3100902924212462,-0.44149311877443975,-1.2245720444436814,0.49730082400428594,-0.41237079348298666,-0.18101385514375465,-0.01689084418078279,0.26042309257418106,-0.21849882354108582,-0.10040241477638201,-5.93275428784068e-16,hCoV-19/mink/USA/WI/MP02N-163/2022-08-21,mink,2022-08-21,NA
-1.4151019383827412,-0.8833074424898061,-0.13036749190174035,-0.6031376318703544,-0.04144859632546513,-0.6123859719426356,-0.6433620908405133,-0.24219738541098193,0.17741187089415789,-0.29811109606427133,-0.1558152511304555,-1.6479873021779667e-15,hCoV-19/mink/USA/WI/MP02N-165/2022-08-21,mink,2022-08-21,NA
-1.1773582773954283,-0.3100902924212462,-0.44149311877443975,-1.2245720444436814,0.49730082400428594,-0.41237079348298666,-0.18101385514375465,-0.01689084418078279,0.26042309257418106,-0.21849882354108582,-0.10040241477638201,-5.93275428784068e-16,hCoV-19/mink/USA/WI/MP02N-171/2022-08-21,mink,2022-08-21,NA
-1.1773582773954283,-0.3100902924212462,-0.44149311877443975,-1.2245720444436814,0.49730082400428594,-0.41237079348298666,-0.18101385514375465,-0.01689084418078279,0.26042309257418106,-0.21849882354108582,-0.10040241477638201,-5.93275428784068e-16,hCoV-19/mink/USA/WI/MP02N-187/2022-08-21,mink,2022-08-21,NA
-1.173731415600645,-0.04244036905238306,-0.6729982397906897,-1.3280743693136505,0.4759520573488854,-0.36554907405556203,-0.16512363322225837,0.05650095249826356,0.19309974267155122,-0.2497355876585654,-0.09219625522304395,-2.203098814490545e-15,hCoV-19/mink/USA/WI/MP02N-190/2022-08-21,mink,2022-08-21,NA
-1.399616431314684,-0.34665340634740704,-0.5879532833928196,-0.8249433445686284,-0.06338016700624668,-0.514943542387615,-0.5962042258598865,-0.09260940105745682,0.050538668284801996,-0.35551013141501153,-0.1380100564078007,-1.2455314557513475e-15,hCoV-19/mink/USA/WI/MP02N-197/2022-08-21,mink,2022-08-21,NA
-1.539436617621635,-0.3662980814996474,-0.47026515224064797,-0.7524925051629001,0.06081385828270258,-0.3239732169992718,-0.5314890692755923,-0.39259146014656887,0.34930897323789273,-0.22802058177151913,-0.03163708687842784,-1.4259426972529354e-15,hCoV-19/mink/USA/WI/MP02N-205/2022-08-21,mink,2022-08-21,NA
-1.5499635775677572,-0.6400585277448744,-0.23493487862911389,-0.6381301451202753,0.07432982872930724,-0.3700104862935589,-0.5542918465943211,-0.4744566985736308,0.4195796671134724,-0.19637410056183116,-0.038700620613943026,-2.6020852139652106e-16,hCoV-19/mink/USA/WI/MP02N-206/2022-08-21,mink,2022-08-21,NA
-1.399616431314684,-0.34665340634740704,-0.5879532833928196,-0.8249433445686284,-0.06338016700624668,-0.514943542387615,-0.5962042258598865,-0.09260940105745682,0.050538668284801996,-0.35551013141501153,-0.1380100564078007,-1.2455314557513475e-15,hCoV-19/mink/USA/WI/MP02N-232/2022-08-21,mink,2022-08-21,NA
-1.1773582773954283,-0.3100902924212462,-0.44149311877443975,-1.2245720444436814,0.49730082400428594,-0.41237079348298666,-0.18101385514375465,-0.01689084418078279,0.26042309257418106,-0.21849882354108582,-0.10040241477638201,-5.93275428784068e-16,hCoV-19/mink/USA/WI/MP02N-236/2022-08-21,mink,2022-08-21,NA
-1.1773582773954283,-0.3100902924212462,-0.44149311877443975,-1.2245720444436814,0.49730082400428594,-0.41237079348298666,-0.18101385514375465,-0.01689084418078279,0.26042309257418106,-0.21849882354108582,-0.10040241477638201,-5.93275428784068e-16,hCoV-19/mink/USA/WI/MP02N-237/2022-08-21,mink,2022-08-21,NA
-0.4698758114682222,-0.5262127993125978,-0.7499927541640969,-0.6180389218307126,-0.22467913533778475,-0.21485886426155443,-0.4298903493365795,0.9004495118375366,1.2582610390675912,-0.2213577565778551,-0.20340010708450754,6.002143226879753e-16,hCoV-19/mink/USA/WI/MP02N-245/2022-08-21,mink,2022-08-21,NA
-2.603453248282757,-0.36030404615281203,-0.29365586295857504,0.5771591913182419,-0.49656068151495575,0.3396814792681433,0.3544676792752201,-0.00314465578274439,-0.1299470841632699,0.09887675472438034,-0.3269488877956521,-1.9081958235744878e-16,hCoV-19/mink/USA/WI/MP03N-017/2022-08-28,mink,2022-08-28,NA
-0.9390895602870195,-0.47853495816209557,-0.5315714582092672,0.014845297811276345,-0.6811650084953893,0.2632700019478254,-1.323401307891668,-0.9049434448137409,-0.9311301896765899,-0.3103858339337113,0.0969577962261399,-3.712308238590367e-16,hCoV-19/mink/USA/WI/MP03N-023/2022-08-28,mink,2022-08-28,NA
-1.0493967363617513,-0.559449730042541,-0.3331005794517829,-1.1787194960211054,0.37368960274071766,-0.6539618289989254,-0.2769966547871795,0.20689502723385056,0.021202640327816272,-0.3198261019513176,-0.21637441947507155,-1.4814538484841933e-15,hCoV-19/mink/USA/WI/MP03N-026/2022-08-28,mink,2022-08-28,NA
-1.8883484727487065,-0.42046195097519834,-0.49799092994444843,-0.2975794945832381,-0.3598008541399143,-0.23879009784223787,-0.8692197301662721,-0.7546302355317808,0.434962640059288,-0.23719609424811877,0.034627683641418966,-5.100087019371813e-16,hCoV-19/mink/USA/WI/MP03N-027/2022-08-28,mink,2022-08-28,NA
-1.0649698338475884,-0.22764882673173586,-0.6437087310933862,-0.00848716016163227,-0.577456704424955,0.5221672984250239,-1.2471619922690824,-1.1497074006066306,-0.7098782813925728,-0.20888043725899627,0.21884172952296543,3.5041414214731503e-16,hCoV-19/mink/USA/WI/MP03N-042/2022-08-28,mink,2022-08-28,NA
0.11582085300209514,-0.11547591925037229,-0.26579487935861207,0.7304463806335562,-0.44372687839614494,0.5651323686179711,0.17516882359321884,-2.193323761707466,-0.0783406325276505,-2.0297559109175256,0.06659807648622232,-3.157196726277789e-16,hCoV-19/mink/USA/WI/MP03N-043/2022-08-28,mink,2022-08-28,NA
-0.3739651282853802,-0.228265584257758,-1.0874715882411823,-0.8128873077376843,-0.3508778921709282,-0.3737793458793901,-0.4802662332374111,1.2200556234981341,0.8289584455441118,-0.38499973360989254,-0.2972376986594026,-9.367506770274758e-17,hCoV-19/mink/USA/WI/MP03N-051/2022-08-28,mink,2022-08-28,NA
-2.6329431666064944,-0.6240005846191787,-0.06367197585505907,0.7115384054771555,-0.4936702834445483,0.30738474151669215,0.3486023983780963,-0.07495212546038879,-0.0709454347450057,0.1353160427354599,-0.33912487123018914,-5.204170427930421e-17,hCoV-19/mink/USA/WI/MP03N-056/2022-08-28,mink,2022-08-28,NA
-1.4842830295842688,-0.3258406955594248,-0.56950059161939,-0.15571010824670922,-0.4666134473353509,0.1346426984741037,-1.0546913958278366,-0.9485106961703648,-0.1268574417643104,-0.22330044776271596,0.1250290209721779,-8.153200337090993e-16,hCoV-19/mink/USA/WI/MP03N-060/2022-08-28,mink,2022-08-28,NA
-1.3400304235102056,-0.054120813073428475,-0.8987169693000339,-0.3646364113998403,-0.573436779493194,-0.03430836636045976,-1.0695316518132951,-0.548412263649383,-0.46066418926908587,-0.37822744225702215,0.018844506424557036,-9.818534874028728e-16,hCoV-19/mink/USA/WI/MP03N-069/2022-08-28,mink,2022-08-28,NA
-2.57499806393529,-0.10586001780807229,-0.5155701399882833,0.44749503730525475,-0.4993496621092081,0.3708449981511224,0.36012716084262014,0.06614325355533393,-0.186878500268613,0.06371603822246152,-0.31520013185004636,-8.291978215169138e-16,hCoV-19/mink/USA/WI/MP03N-103/2022-08-28,mink,2022-08-28,NA
-1.1128628432044683,-0.8601859649447388,-0.3114904982485903,-0.305656936925577,-0.2990252701301945,0.3655951861015062,-1.3600565104854343,-0.25592511262157436,-0.3955771777603096,-0.3860805847400838,-0.01819254211163399,1.700029006457271e-16,hCoV-19/mink/USA/WI/MP03N-118/2022-08-28,mink,2022-08-28,NA
-1.8655338780770143,-0.6475231956736668,0.3271113052751372,-1.5973067268456578,1.2355394037255851,-0.6978397385481738,0.026090998371575587,-1.0491676781104302,-0.5625733882122332,-0.15209550071914155,-0.0180134133432901,-2.3696322681843185e-15,hCoV-19/mink/USA/WI/MP03N-149/2022-08-28,mink,2022-08-28,NA
-1.2797222763343221,-0.8451981473022028,-0.2601948252088734,-0.6809225738936738,-0.1619903910926943,-0.7930558417972872,-0.7040817823689178,0.05241345672328801,-0.11521925183237125,-0.4230974130544512,-0.257753286222256,-5.793976409762536e-16,hCoV-19/mink/USA/WI/MP03N-152/2022-08-28,mink,2022-08-28,NA
-1.418159745314893,0.411830110565111,0.8398389915880906,-0.7170885065822389,-0.09115810412211647,-0.2994851017461812,-1.036284090267738,-0.5224691533963308,0.587440775164322,0.014303901395791529,-1.5938083214159136,-1.4259426972529354e-15,hCoV-19/mink/USA/WI/MP03N-157/2022-08-28,mink,2022-08-28,NA
-1.790989518548257,-0.4375894824365221,-0.518629001219219,-0.9500939237298065,0.032610347825681535,-0.8638771837303699,-0.4252839725016747,0.07945242420586224,0.5895335523242548,-0.3665987432228159,-0.22062469633432288,-1.8145207558717402e-15,hCoV-19/mink/USA/WI/MP03N-159/2022-08-28,mink,2022-08-28,NA
-2.228639010904891,-1.1310726960303785,0.4112298451606387,-0.17211476020651506,0.34963021648231296,-0.5147126991800633,1.1202146258958101,1.0059865923521945,0.13830154304013625,0.07657927981760743,-0.6931552574614027,-1.0512424264419451e-15,hCoV-19/mink/USA/WI/MP03N-170/2022-08-28,mink,2022-08-28,NA
-1.5499635775677572,-0.6400585277448744,-0.23493487862911389,-0.6381301451202753,0.07432982872930724,-0.3700104862935589,-0.5542918465943211,-0.4744566985736308,0.4195796671134724,-0.19637410056183116,-0.038700620613943026,-2.6020852139652106e-16,hCoV-19/mink/USA/WI/MP03N-172/2022-08-28,mink,2022-08-28,NA
-1.8491630236770162,-0.37362451483716586,0.08137276899870931,-1.6939065575970715,1.2005195522605308,-0.6457315571750973,0.03814594522797322,-0.9566596437660199,-0.614656062544744,-0.18456195599999048,-0.011332976038712948,-3.535366444040733e-15,hCoV-19/mink/USA/WI/MP03N-182/2022-08-28,mink,2022-08-28,NA
-1.173731415600645,-0.04244036905238306,-0.6729982397906897,-1.3280743693136505,0.4759520573488854,-0.36554907405556203,-0.16512363322225837,0.05650095249826356,0.19309974267155122,-0.2497355876585654,-0.09219625522304395,-2.203098814490545e-15,hCoV-19/mink/USA/WI/MP03N-189/2022-08-28,mink,2022-08-28,NA
-1.0506776608124042,-0.8368545470149922,-0.09518229503291181,-1.0723991546739182,0.3931088891204924,-0.7062252985196211,-0.29499768843631574,0.1363408546064191,0.08528264867679079,-0.2899118003676635,-0.22692356325958,-3.434752482434078e-16,hCoV-19/mink/USA/WI/MP03N-194/2022-08-28,mink,2022-08-28,NA
-1.0481623909820317,-0.2921323609599972,-0.5623672898917862,-1.2811736431374858,0.3549764722292981,-0.6035988492789824,-0.25965020417983015,0.2748835935839208,-0.040547185899376725,-0.34865261075011167,-0.2062088809190906,-8.98586760555986e-16,hCoV-19/mink/USA/WI/MP03N-195/2022-08-28,mink,2022-08-28,NA
-1.4796057407085108,-0.22720128095527545,-0.8888192119590905,0.518921345978271,-0.8935491551666708,0.2916541407051721,0.40386112831203774,1.5519078891603624,0.3325720498462985,-0.0524959988340511,-0.5830637634415922,1.169203622808368e-15,hCoV-19/mink/USA/WI/MP03N-197/2022-08-28,mink,2022-08-28,NA
-1.40721840751173,-0.6101017513627662,-0.3633202584790174,-0.716056903789476,-0.052613759581135816,-0.5627789168964431,-0.6193544504867396,-0.16604350246736918,0.11282187683848588,-0.3273324231519208,-0.14675078836255842,-8.430756093247282e-16,hCoV-19/mink/USA/WI/MP03N-198/2022-08-28,mink,2022-08-28,NA
-1.5623227074915351,0.3590214292410364,-1.0327002360613815,-1.6368760960445086,0.5227793881487504,-0.6300317015215636,0.027784039978777382,0.3624297969619894,0.60439574663968,-0.320769314206884,-0.16035406863256454,-2.3141211169530607e-15,hCoV-19/mink/USA/WI/MP03N-199/2022-08-28,mink,2022-08-28,NA
-1.9515155872982581,0.8693295485969501,0.16618512739740193,-0.7923246829369333,0.11287464967359098,-0.8727199191394657,-0.5247272073353928,0.5003453564560265,0.7038117823051039,-0.521010440299331,1.068057242901098,-7.320533068622126e-16,hCoV-19/mink/USA/WI/MP03N-204/2022-08-28,mink,2022-08-28,NA
-1.1773582773954283,-0.3100902924212462,-0.44149311877443975,-1.2245720444436814,0.49730082400428594,-0.41237079348298666,-0.18101385514375465,-0.01689084418078279,0.26042309257418106,-0.21849882354108582,-0.10040241477638201,-5.93275428784068e-16,hCoV-19/mink/USA/WI/MP03N-207/2022-08-28,mink,2022-08-28,NA
-0.3623471121068669,-0.8793124402516022,-0.45084011094204396,-0.7024802896741612,0.1808839886572079,0.5341650839622291,-0.6500622712780224,1.042643991614542,1.4763103653317076,-0.160347452306473,-0.11148247885336363,1.2663481374630692e-15,hCoV-19/mink/USA/WI/MP03N-209/2022-08-28,mink,2022-08-28,NA
-1.7486753676878717,-0.22740009879166911,-0.023276339676119445,-2.497080504706144,1.9800468155626443,-0.2924275959376575,0.347159520053933,-0.09566468780461138,-0.02862615029528481,-0.1943968941528217,-0.0668451502961489,-4.076600168545497e-15,hCoV-19/mink/USA/WI/MP03N-210/2022-08-28,mink,2022-08-28,NA
-1.6817911885525576,-1.0962237163792177,0.37647374323459665,-0.23924287875469186,0.6123822408844675,0.6083647971304426,0.7298830440207447,1.0336216360872057,-0.25605773694059003,0.11215883807744875,-0.5029871383392245,-3.8510861166685117e-16,hCoV-19/mink/USA/WI/MP03N-211/2022-08-28,mink,2022-08-28,NA
-1.4151019383827412,-0.8833074424898061,-0.13036749190174035,-0.6031376318703544,-0.04144859632546513,-0.6123859719426356,-0.6433620908405133,-0.24219738541098193,0.17741187089415789,-0.29811109606427133,-0.1558152511304555,-1.6479873021779667e-15,hCoV-19/mink/USA/WI/MP03N-216/2022-08-28,mink,2022-08-28,NA
-2.050925481959757,-0.6660095469255909,0.13947590365410117,-1.1777100975562127,0.6353099173728405,-0.7851195082528813,-0.40019427521144907,-1.0695856903123018,-0.7283687153166256,-0.2926641294585285,-0.06003475148005297,-2.9108659926890823e-15,hCoV-19/mink/USA/WI/MP03N-219/2022-08-28,mink,2022-08-28,NA
