host,slope,slope_se,p_value,r_squared
human,3.926861131683781e-5,3.1685013470205764e-5,0.21596941979947232,0.003953229804054561
mink,-4.3656133372909104e-4,4.0271921751959015e-5,3.0011983319843247e-21,0.40311404954976626
deer,8.969839425795964e-4,4.6081393011829274e-4,0.06447361532886452,0.14692124060122894
